# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
19;0;0.569858;2.218594;9.696408;-0.122108;1.251735;0.695387;0.071131;-0.330188;-0.626042;1;-0.397017;1.117295;9.896898;0.126255;0.244606;0.351919;0.021016;-0.033493;-1.037088;6;9.788385;-0.984012;-0.178962;1.260938;1.233031;-0.489268;-0.568846;-0.129517;0.318750;1;0;
20;0;0.674884;1.469600;9.183820;-0.094299;0.884488;0.566668;0.084851;-0.299492;-0.647298;1;-0.568720;1.230327;9.950005;-0.153547;0.088760;0.196004;0.006564;-0.038927;-0.965064;6;9.787285;-0.984259;-0.238869;1.419266;1.505110;-0.124386;-0.554662;-0.095275;0.286090;1;0;
21;0;0.110751;2.161243;9.630406;0.028053;0.885755;0.505000;0.069959;-0.271575;-0.653781;1;-0.565093;1.230469;10.119924;0.064934;0.274889;0.290515;0.034067;-0.018098;-1.038368;6;9.434714;-0.692574;-0.124421;1.605908;1.564749;0.088593;-0.610432;-0.113110;0.302174;1;0;
22;0;0.798834;2.275870;9.701103;0.152392;1.006473;0.751947;0.112707;-0.286470;-0.651413;1;-0.411415;1.060395;9.217175;0.097310;0.397538;0.353417;0.020432;0.024573;-0.998054;6;9.549985;-0.925890;-0.302930;1.663701;1.479191;-0.491902;-0.569058;-0.127038;0.272166;1;0;
23;0;0.334076;2.332196;9.351318;0.274864;1.007393;0.720941;0.084465;-0.285721;-0.650714;1;-0.622227;1.005255;10.118525;0.221705;0.460637;0.323316;0.007525;-0.020391;-1.009117;6;9.554792;-1.099129;-0.064044;1.234644;1.658970;-0.277266;-0.582754;-0.129721;0.318679;1;0;
24;0;0.564622;1.757856;9.410212;0.396049;1.074644;0.261668;0.071131;-0.330188;-0.626042;1;-0.857756;1.230818;9.887321;-0.059461;0.211790;0.320615;-0.005451;-0.020466;-1.008841;6;9.613828;-0.634409;-0.001059;0.950407;1.422396;-1.161426;-0.512797;-0.096315;0.317356;1;0;
25;0;0.450030;1.872822;9.408468;0.057468;0.826868;0.289284;0.013505;-0.304676;-0.617400;1;-0.282101;1.229741;9.899410;-0.025019;0.488367;0.292565;0.008561;0.013465;-1.054173;6;9.730605;-1.041706;-0.120402;1.136416;1.359045;-0.886734;-0.554729;-0.113120;0.317983;1;0;
26;0;0.452009;2.217953;9.523622;0.055962;0.706027;0.103317;0.084108;-0.306548;-0.619146;1;-0.681002;1.005315;10.060677;-0.028099;0.243250;0.259297;0.033923;0.011471;-1.026025;6;9.553016;-0.808996;-0.122715;1.260095;1.296733;-0.734071;-0.527264;-0.127252;0.287905;1;0;
27;0;0.455474;2.046353;9.693457;-0.191156;0.460071;0.008027;0.056253;-0.319570;-0.615032;1;-0.394383;1.004729;10.010082;-0.056615;0.427048;0.230274;0.021167;-0.002852;-1.039096;6;9.901476;-0.752967;-0.415399;1.254607;1.027730;-1.344020;-0.541310;-0.144475;0.304199;1;0;
28;0;0.218496;2.274596;9.291997;-0.006001;0.582466;0.132155;0.081065;-0.248278;-0.593998;1;-0.913250;0.780329;9.942372;-0.180933;0.364352;0.198722;0.020356;0.009253;-0.997050;6;9.552861;-1.215776;-0.184352;1.219342;0.849756;-1.893167;-0.568358;-0.097958;0.332603;1;0;
